scene0000_00: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0000_01: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0000_02: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0001_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0001_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0002_00: Seed: 42, Selected_ID: 52, accepted after 388 times, dx, dy=(-0.8472106469979354, -0.6877746436297159), eric_-5
scene0002_01: Seed: 42, Selected_ID: 39, accepted after 74 times, dx, dy=(1.3763380244246974, -0.24174857023844737), eric_30
scene0003_00: Seed: 42, Selected_ID: 7, accepted after 17 times, dx, dy=(-2.5729596632040144, 0.4137639413723229), eric_30
scene0003_01: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-1.4395483596045517, 1.6543500536691809), eric_15
scene0003_02: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.9336029805559597, -2.1491706915627016), eric_15
scene0004_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0005_00: Seed: 42, Selected_ID: 7, accepted after 88 times, dx, dy=(-1.2443396361329846, 1.1454511771396227), eric_30
scene0005_01: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.9611045608064385, 0.012229013910513079), eric_-5
scene0006_00: Seed: 42, Selected_ID: 39, accepted after 14 times, dx, dy=(-0.05048115215672333, 3.1888458246423634), eric_5
scene0006_01: Seed: 42, Selected_ID: 39, accepted after 9 times, dx, dy=(0.5105086890775373, -2.6322228506423877), eric_0
scene0006_02: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.580437592730215, -2.4181346029189945), eric_0
scene0007_00: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.47350565795411337, 1.0850961874807743), eric_0
scene0008_00: Seed: 42, Selected_ID: 29, accepted after 5 times, dx, dy=(-0.08456044893544956, -5.936002674924775), eric_0
scene0009_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-1.18519300543085, -1.8312316071352865), eric_5
scene0009_01: Seed: 42, Selected_ID: 29, accepted after 4 times, dx, dy=(-0.9079728923584509, -1.5401637441156577), eric_5
scene0009_02: Seed: 42, Selected_ID: 29, accepted after 4 times, dx, dy=(-0.814694505346405, -1.6617613549311496), eric_0
scene0010_00: Seed: 42, Selected_ID: 52, accepted after 5 times, dx, dy=(0.9494855061439259, -1.9405788784126192), eric_5
scene0010_01: Seed: 42, Selected_ID: 39, accepted after 14 times, dx, dy=(-0.44203829702764674, 2.033672792253759), eric_10
scene0011_00: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-2.08560385772601, 1.6126511176689438), eric_0
scene0011_01: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-2.0362740062490605, 0.7751507800777743), eric_20
failed
failed
failed
scene0013_00: Seed: 42, Selected_ID: 4, accepted after 1 times, dx, dy=(1.7168819897342025, 1.3058912591031173), eric_30
scene0013_01: Seed: 42, Selected_ID: 4, accepted after 3 times, dx, dy=(-1.1950390658609757, -1.766510648374399), eric_25
scene0013_02: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.5212800034438413, -1.7531476507388946), eric_15
scene0014_00: Seed: 42, Selected_ID: 29, accepted after 12 times, dx, dy=(-0.6389195046437169, -0.36161948165379093), eric_30
scene0015_00: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-0.409305264389631, -1.6353504272511274), eric_10
scene0016_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0016_01: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-0.6252725649555416, -0.30758357265224173), eric_20
scene0016_02: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-0.7718711293499237, -0.3412252583768895), eric_10
scene0017_00: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.6877593863486581, 2.9463199056407956), eric_30
scene0017_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.33179794792176953, -1.87774530696672), eric_25
scene0017_02: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(0.2726464672488581, -1.745118097695714), eric_15
NO SUIT ERIC! Using default scene0018_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.11068704840952448, 1.13786421691101), eric_0
scene0019_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0019_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0020_00: Seed: 42, Selected_ID: 39, accepted after 104 times, dx, dy=(1.5146246130647278, 1.2235120969695747), eric_5
scene0020_01: Seed: 42, Selected_ID: 39, accepted after 94 times, dx, dy=(1.6443804888844769, 0.057182963057135286), eric_15
scene0021_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.5159877535293096, -1.3601247577768583), eric_5
scene0022_00: Seed: 42, Selected_ID: 29, accepted after 2 times, dx, dy=(0.2795618307459179, -0.1108372736632101), eric_30
scene0022_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0023_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.1469640034951891, -2.779582517180047), eric_25
scene0024_00: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0024_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0024_02: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0025_00: Seed: 42, Selected_ID: 39, accepted after 15 times, dx, dy=(0.003663154559445325, 1.426154183362107), eric_30
scene0025_01: Seed: 42, Selected_ID: 29, accepted after 28 times, dx, dy=(-0.3405319969588908, 0.48059564974641816), eric_20
scene0025_02: Seed: 42, Selected_ID: 39, accepted after 15 times, dx, dy=(-0.06007453945553032, 1.535801434196668), eric_10
scene0026_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0027_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.19385387001172372, -1.294933532491499), eric_25
scene0027_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.5674134023098983, -1.1424229293734756), eric_5
scene0027_02: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.14993227710375556, -1.3894722091212506), eric_25
scene0028_00: Seed: 42, Selected_ID: 7, accepted after 8 times, dx, dy=(1.7083572601280577, 0.7558163726641033), eric_10
failed
failed
failed
scene0030_00: Seed: 42, Selected_ID: 52, accepted after 20 times, dx, dy=(-0.003643560162856052, -1.5023944814650754), eric_15
scene0030_01: Seed: 42, Selected_ID: 52, accepted after 14 times, dx, dy=(0.44131868972168664, 0.9907111360803839), eric_10
scene0030_02: Seed: 42, Selected_ID: 52, accepted after 14 times, dx, dy=(0.35854358115033313, 0.6127403565067774), eric_10
scene0031_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0031_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.40029186416646156, 0.49830647085119556), eric_25
scene0031_02: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(2.7585204456698422, -2.6337963478861233), eric_30
scene0032_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.9669756524479939, -0.9198282904302785), eric_30
scene0032_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.9105096558970426, -0.8375842900007241), eric_25
scene0033_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0034_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
